する上で	するうえで
する事	すること
する度	するたび
する為	するため
する時	するとき
の通り	のとおり
の他	のほか
する訳	するわけ
に付き	につき
毎	ごと
の内	のうち
の中	のなか
今の所	今のところ
正しい物とする	正しいものとする
今の所	今のところ
正しい物とする	正しいものとする
が有る／が在る	がある
して行く	していく
して来る	してくる
と言う	という
して下さい	してください
出来る	できる
に成る	になる
して見る	してみる
に因る	による
して頂く	していただく
して置く	しておく
し出す	しだす
し過ぎる	しすぎる
に過ぎない	にすぎない
し切る	しきる
しないで済む	しないですむ
長年に亘る／多岐に亘る	長年にわたる／多岐にわたる
捗る	はかどる
電話を掛ける	電話をかける
ご免なさい	ごめんなさい
時間が経つ	時間がたつ
使い易い	使いやすい
言って頂いた	言っていただいた
の様な	のような
し無い	しない
の如く	のごとく
し易い	しやすい
して良い	してよい
して欲しい	してほしい
し難い	しがたい
辛い	つらい
様々な	さまざまな
易しい	やさしい
色々な	いろいろな
中々だ	なかなかだ
有難い	ありがたい
可笑しい	おかしい
素晴らしい	すばらしい
羨ましい	うらやましい
沢山の	たくさんの
僅か	わずか
鬱陶しい	うっとおしい
鬱陶しい	うっとおしい
そう言う	そういう
そんな風に	そんなふうに
あちらの方に	あちらのほうに
及び	および
併せて	あわせて
或いは	あるいは
且つ	かつ
但し	ただし
尚	なお
然も	しかも
即ち	すなわち
並びに	ならびに
又は	または
若しくは	もしくは
故に	ゆえに
拠って	よって
従って	したがって
後で	あとで
余りに	あまりに
予め	あらかじめ
如何に	いかに
何れ	いずれ
良く	よく
一旦	いったん
未だ	いまだ
各々	おのおの
更に	さらに
直に	じかに
直ぐに	すぐに
度々	たびたび
折角	せっかく
是非	ぜひ
僅か	わずか
何故	なぜ
何等	なんら
殆ど	ほとんど
先ず	まず
丁度	ちょうど
遂に	ついに
幾つも	いくつも
暫く	しばらく
至って	いたって
中々	なかなか
中でも	なかでも
概ね	おおむね
恐らく	おそらく
出来るだけ	できるだけ
恐る恐る	おそるおそる
一通り	ひととおり
丁度	ちょうど
何でも	なんでも
囲炉裏	いろり
斡旋	あっせん
挨拶	あいさつ
絨毯	じゅうたん
煎餅	せんべい
流石	さすが
一寸	ちょっと
腕白	わんぱく
一つ	ひとつ
漏洩	漏えい
破綻	破たん
障害者	障がい者
の恐れ	のおそれ
滑稽	こっけい
曖昧	あいまい
あの人達	あの人たち
或る	ある
所謂	いわゆる
此の	この
其の	その
貴方	あなた
此処	ここ
何処	どこ
何時	いつ
其れ	それ
を始めに／を初めに	をはじめに
達	たち
お早う	おはよう
アイディア	アイデア
アボガド	アボカド
アメニティ	アメニティー
アルファー	アルファ
アレルギ	アレルギー
アンダーウェア	アンダーウエア
アロマテラピー	アロマセラピー
アンチョビ	アンチョビー
イデオロギ	イデオロギー
イニシアティブ	イニシアチブ
インターフォン	インターホン
イニシアティブ	イニシアチブ
ウィスキー	ウイスキー
ウェア	ウエア
エスティテシャン	エステティシャン
エッセ	エッセー
エンターテイメント	エンターテインメント
オーソリティ	オーソリティー
オファ	オファー
オリジナリティ	オリジナリティー
オールマイティ	オールマイティー
オファ	オファー
カフェオーレ	カフェオレ
グァバ	グアバ
ギョウザ	ギョーザ
クォーター	クオーター
コミニュケーション	コミュニケーション
ゴーイングマイウェイ	ゴーイング・マイウエー
シュミレーション	シミュレーション
シュチュエーション	シチュエーション
シュウマイ	シューマイ
スムース	スムーズ
セキュリティ	セキュリティー
セイフティーネット	セーフティーネット
ソファー	ソファ
タトゥ	タトゥー
ダンディ	ダンディー
チャリティ	チャリティー
ディテイル	ディテール
ディフォルト	デフォルト
ディジャビュ（既視感）	デジャビュ
ドラスティック	ドラスチック
トレンディ	トレンディー
ネイティブ	ネーティブ
ハードウェア	ハードウエア
パテシエ	パティシエ
パブリシティ	パブリシティー
バリア	バリアー
ヒンデュー教	ヒンズー教
ペナルティ	ペナルティー
ペティキュア	ペディキュア
ホームスティ	ホームステイ
ボキャブラリ	ボキャブラリー
マイノリティ	マイノリティー
マジョリティ	マジョリティー
ミデアム	ミディアム
リアリティ	リアリティー
リセプション	レセプション
リラクゼーション	リラクセーション
レクチャ	レクチャー
ロイヤルティ	ロイヤルティー
ワイヤーレスマイク	ワイヤレスマイク
キユーピー	キューピー
三和シヤッター工業	三和シャッター工業
シヤチハタ	シャチハタ
蛇ノ目ミシン工業	蛇の目ミシン工業
大和総合研究所	大和総研
東洋シーヤッター	東洋シャッター
ドン・キホーテ	ドンキホーテ
日本コロムビア	日本コロンビア
日本トイザらス	日本トイザラス
富士フイルム	富士フィルム
三菱レイヨン	三菱レーヨン
キヤノン株式会社	キャノン株式会社
株式会社ブリヂストン	株式会社ブリジストン
合間	合い間
新しい	新らしい
侮どる	侮る
誤る	誤まる
荒らげる	荒ららげる
現れる	現われる
忙しい	忙がしい
偽わる	偽つわる
失う	失なう
補う	補なう
幼い	幼ない
必ず	必らず
断る	断わる
遮る	遮ぎる
償う	償なう
交える	交じえる
群がる	群らがる
ウォシュレット	温水洗浄便座
エレクトーン	電子オルガン
オセロ（ゲーム）	リバーシ
カルピス	乳酸飲料
シーチキン	ツナ缶
ジェットスキー	水上バイク
セスナ	軽飛行機
アイスノン	冷却枕
ダスキン	化学雑巾
宅急便	宅配便
タッパー／タッパーウェア	食品保存容器
タバスコ	ペッパーソース
着うた	着信メロディー
オセロゲーム	オセロ風ゲーム
コカ・コーラ	コーラ飲料
糸ようじ	デンタルフロス
テフロン	フッ素樹脂（加工）
トランポリン	跳躍器具
ハルシオン	睡眠導入剤
バスクリン	入浴剤
バンドエイド	（ガーゼ付き）ばんそうこう
Ｖシネマ	ビデオ専用映画
ポリバケツ	プラスチックバケツ
ボンド	セメダイン
マジックインキ／マジックペン）	フェルトペン
万歩計	歩数計
ワンカップ	カップ酒
オーロラビジョン	大型スクリーン
ジャグジー	ジェットバス
シュガーカット	甘味料
亀の子たわし	たわし
クリープ	粉末クリーム
ウォークマン	ポータブルオーディオプレイヤー
セロテープ	セロハンテープ
ガムテープ 	粘着テープ
カップヌードル	即席ラーメン
形状記憶シャツ	形状安定シャツ
サランラップ／クレラップ	ラップ
サロンパス	湿布薬
ファミコン	（家庭用）テレビゲーム機
ポスト・イット	付せん
ホッチキス	ステープラー
マジックテープ	面ファスナー
UFOキャッチャー	クレーンゲーム機
iPhone	スマートフォン
ウィークリーマンション	短期賃貸マンション
味の素	うま味調味料
テトラポッド	消波ブロック
ピアニカ	鍵盤ハーモニカ
ホカロン	使い切りカイロ
ラジコン	ラジオコントロール
ジープ	小型四輪駆動車
ムース	泡状整髪剤
アロンアルフア	瞬間接着剤
ローラーブレード	インラインスケート
シーチキン	ツナ缶
写メール	携帯電話の写真付きメール
レゴ	ブロック玩具
ゆるキャラ	ご当地キャラ
アクアラング	簡易潜水具
感違い	勘違い
一同に会する	一堂に会する
遅れを取る	後れを取る
お話します	お話しします
喝を入れる	活を入れる
聞いたふうなことを言う	利いたふうなことを言う
危機一発	危機一髪
肝に命じる	肝に銘じる
厚顔無知	厚顔無恥
口答弁論	口頭弁論
気嫌いする	毛嫌いする
曖味	曖昧
以外と	意外と
異句同音	異口同音
完壁	完璧
見い出す	見出す
不動票	浮動票
シュミレーション	シミュレーション
消息を断つ	消息を絶つ
見栄を切る	見得を切る
一部の隙もない	一分の隙もない
合槌を打つ	相槌を打つ
上げ足を取る	挙げ足を取る
大番振る舞い	大盤振る舞い
空前の灯火	風前の灯火（ともしび）
濡れ手で泡	濡れ手で粟
ご多聞に漏れず	ご多分に漏れず
高値の花	高嶺の花
恩に切ります	恩に着ます
人の噂も四十九日	人の噂も七十五日
二の舞を踏む	二の舞を演じる
苦渋をなめる	苦汁をなめる
吐いて捨てるほど	掃いて捨てるほど
足もとをすくう（すくわれる）	足をすくう（すくわれる）
声をあらげる	声をあららげる（荒らげる）
怒り心頭に達する	怒り心頭に発する
間が持たない	間が持てない
采配を振るう	采配を振る
愛想を振りまく	愛嬌を振りまく
明るみになる	明るみに出る
上には上がいる	上には上がある
熱にうなされる	熱に浮かされる
体調を壊す	体調を崩す
口を濁す	言葉を濁す
首をもたげる	頭をもたげる
雪辱を晴らす	雪辱を果たす
汚名挽回	汚名返上
上や下への大騒ぎ	上を下への大騒ぎ
一身同体	一心同体
一連托生	一蓮托生
思いもつかない	思いも寄らない
価値感	価値観
かねてから／かねてより	かねて
間髪（かんぱつ）を入れず	間髪（かん、はつ）を入れず
疑心暗鬼を抱く	疑心暗鬼を生ずる
肝に命じる	肝に銘じる
興味深々	興味津々
最少限	最小限
従来から	従来
絶対絶命	絶体絶命
前後策	善後策
泥試合	泥仕合
捺印を押す	捺印する
念頭に入れる	念頭に置く
バトミントン	バドミントン
